wikipedia_title,mentioned_in_agent,possible_agent_norm,match_score
Augustus,suetonius,augustus,1.0
Claudius,suetonius,claudius,1.0
Livy,suetonius,livy,1.0
"Godwin, William","wollstonecraft, mary","godwin, william",1.0
Conyers Middleton,cambridge university library,"middleton, conyers",1.0
Augustine,Homiletics,augustine,1.0
Desiderius Erasmus,Homiletics,"erasmus, desiderius",1.0
Louis Cappel,Tetragrammaton,"cappel, louis",1.0
Samuel,Theme (narrative),samuel,1.0
Johann Joachim Bellermann,"pestalozzi, johann heinrich","bellermann, johann joachim",1.0
United States,Sovereign default,united states,1.0
Adam,יעקב בן ירמיהו מתתיהו,adam,1.0
Theodor Zwinger,"lykosthenes, konrad","zwinger, theodor",1.0
Johann Georg Müller,"müller, johannes von","müller, johann georg",1.0
Moses Maimonides,List of biblical commentaries,"maimonides, moses",1.0
Pierre Guarin,List of biblical commentaries,"guarin, pierre",1.0
"Cicero, Marcus Tullius",De fato,"cicero, marcus tullius",1.0
Marcus Tullius Cicero,De fato,"cicero, marcus tullius",1.0
Johann Heinrich Hottinger,"buxtorf, johann","hottinger, johann heinrich",1.0
Louis-Gabriel Suchet,Battle of Novi (1799),"suchet, louis-gabriel",1.0
Elijah Levita,"ספורנו, עובדיה בן יעקב","levita, elijah",1.0
Hendrik Engelinus Weyers,"hamaker, h. a","weyers, hendrik engelinus",1.0
Ibn Gabirol,Kabbalah,ibn gabirol,1.0
Flavius Josephus,Antiquities of the Jews,"josephus, flavius",1.0
Marcus Musurus,"gelen, sigmund","musurus, marcus",1.0
Sextus Propertius,Heroides,"propertius, sextus",1.0
Isaac de Benserade,"perrault, charles","benserade, isaac de",1.0
Hanseatic League,Antwerp,hanseatic league,1.0
Thomas Goodwin,"lightfoot, john","goodwin, thomas",1.0
Monotype Corporation,fournier,monotype corporation,1.0
James Bruce,"browne, william george","bruce, james",1.0
Hermann Adler,"שכטר, שניאור זלמן","adler, hermann",1.0
Alexandre Alexeieff,France,"alexeieff, alexandre",1.0
Joannes,marcus aurelius,joannes,1.0
Charles Cotton,Fishing,"cotton, charles",1.0
Johann Georg Seiller,"zwinger, theodor","seiller, johann georg",1.0
John Evelyn,Prince Eugene of Savoy,"evelyn, john",1.0
Lino Salini,"wichert, fritz","salini, lino",1.0
Jacobus Trigland,"grotius, hugo","trigland, jacobus",1.0
Louis Bonaparte,"Marie Louise, Duchess of Parma",louis bonaparte,1.0
Augustin Calmet,Francesco Scipione Maffei,"calmet, augustin",1.0
Justinian,Roman law,justinian,1.0
Manasseh ben Israel,"benveniste, immanuel",manasseh ben israel,1.0
Letitia Elizabeth Landon,"tasso, torquato","landon, letitia elizabeth",1.0
Francesco,Franciscus,francesco,1.0
Franciscus Sylvius,Franciscus,"sylvius, franciscus",1.0
Joseph,Luqman,joseph,1.0
Ermolao Barbaro,Giovanni Pico della Mirandola,"barbaro, ermolao",1.0
Emanuel Bin-Gorion,"ברדיצ'בסקי, מיכה יוסף","bin-gorion, emanuel",1.0
Jacques-Auguste de Thou,bibliothèque nationale de france,"thou, jacques-auguste de",1.0
Jacques Dupuy,bibliothèque nationale de france,"dupuy, jacques",1.0
Pietro Martire Vermigli,"cranmer, thomas","vermigli, pietro martire",1.0
Gustave Brunet,"delepierre, octave","brunet, gustave",1.0
Pierre Didot,joh. enschedé en zonen,"didot, pierre",1.0
"Budge, E. A. Wallis",Beta Israel,"budge, e. a. wallis",1.0
Martin Bladen,"addison, joseph","bladen, martin",1.0
Francesco Petrarca,"castiglione, baldassarre","petrarca, francesco",1.0
Bernhard von Mallinckrodt,Incunable,"mallinckrodt, bernhard von",1.0
Georg Wolfgang Panzer,Incunable,"panzer, georg wolfgang",1.0
Isaac Abravanel,ibn gabirol,"abravanel, isaac",1.0
Johan Meerman,rijksmuseum meermanno-westreenianum,"meerman, johan",1.0
Gabriele Simeoni,"rouillé, guillaume","simeoni, gabriele",1.0
Carl von Linné,"devillers, charles","linné, carl von",1.0
Vignola,vignola,vignola,1.0
Jean Claude Fabre,"goujet, claude-pierre","fabre, jean claude",1.0
